,행정동코드,1월_외국인_총생활인구수,2월_외국인_총생활인구수,3월_외국인_총생활인구수,4월_외국인_총생활인구수,5월_외국인_총생활인구수,6월_외국인_총생활인구수,7월_외국인_총생활인구수,8월_외국인_총생활인구수,9월_외국인_총생활인구수,10월_외국인_총생활인구수,11월_외국인_총생활인구수,12월_외국인_총생활인구수,2021년_외국인_평균
151,11320670,51.6226,95.4482,51.6065,61.776,64.0376,57.4533,37.1024,10.8216,55.5437,37.6511,15.8436,13.8306,46.0614
152,11320680,37.6692,38.9892,69.2381,31.363,21.114,31.8158,11.6535,29.3864,59.5182,30.2305,49.719,20.0117,35.8924
153,11320681,20.0995,4.8425,46.1875,23.7239,52.8168,48.4087,25.0101,11.1315,35.4129,44.2645,44.5796,9.4409,30.4932
154,11320690,75.2542,33.2355,12.7868,27.7628,78.273,67.3085,72.9313,49.0339,63.794,138.2693,101.1584,67.6592,65.6222
155,11320700,63.2534,18.5426,14.9839,42.5408,71.8259,35.3454,31.6177,20.1423,16.2777,20.1759,27.1419,29.2197,32.5889
156,11320710,17.4205,74.3282,21.5862,98.7429,53.5762,34.8536,77.5087,29.6561,67.2398,49.2436,31.0211,47.3922,50.2141
157,11350560,34.5648,71.6195,147.8217,111.312,146.7513,108.1804,43.7867,124.3125,175.4961,122.1794,111.8057,57.6652,104.6246
158,11350570,28.7517,14.1389,31.198,20.9251,109.6692,45.0984,35.0422,36.0651,32.1979,57.2246,30.1796,37.7025,39.8494
159,11350580,40.6293,49.8491,38.506,27.4161,38.5828,110.0886,70.7304,39.1793,71.1285,57.5184,55.7645,68.3835,55.648
160,11350595,92.238,55.9287,53.0485,74.6744,74.912,80.904,113.4562,115.2788,47.6452,91.3102,44.7226,76.0154,76.6778
161,11350600,106.5034,131.0126,166.6756,166.4481,95.0872,117.223,151.6805,111.3806,188.8809,100.2261,117.4872,109.9581,130.2136
162,11350611,57.1645,55.8979,90.5288,109.9117,119.915,127.3669,39.388,84.7888,148.6884,74.1245,60.1811,75.876,86.986
163,11350612,31.4533,35.6472,46.1056,13.4295,4.2957,51.4503,34.9469,17.0963,21.413,17.3399,28.5215,16.7361,26.5363
164,11350619,83.4987,15.7157,25.592,86.4648,68.1286,28.7481,55.141,39.3562,74.4337,28.961,35.7946,53.4863,49.6101
165,11350621,36.4702,17.1067,42.3252,42.511,111.648,24.8101,17.6494,41.7814,44.6944,21.1584,40.1194,73.475,42.8124
166,11350624,28.9782,28.4723,28.6425,19.0048,28.8509,53.414,25.1973,25.7675,12.193,22.5232,54.8225,147.3319,39.5999
167,11350625,53.6863,56.0487,67.9497,23.5986,21.5342,120.226,35.6266,86.1506,26.919,16.2392,34.8661,48.4653,49.2758
168,11350630,114.8877,51.6156,47.9827,127.0441,56.1925,96.9554,123.998,73.7593,99.8248,97.3738,131.8059,33.5056,87.9121
169,11350640,44.0785,69.1183,71.971,36.5026,40.5463,114.3658,64.405,41.8373,42.4917,63.8112,57.5712,35.5995,56.8582
170,11350665,57.1724,71.1235,19.9362,46.7339,67.0785,106.3831,78.2146,188.1724,31.7309,41.738,26.1802,136.9021,72.6138
171,11350670,22.3368,18.4007,18.9835,29.3623,6.5988,56.3375,27.9635,18.2793,81.1732,20.2587,42.1873,38.7416,31.7186
172,11350695,101.5375,51.2673,77.8045,107.7609,118.575,38.7159,173.4888,106.4571,116.5181,70.7681,85.5607,114.551,96.9171
173,11350700,33.5821,23.6448,24.467,24.2718,59.2626,39.6539,24.7652,9.6429,13.622,13.0644,40.7188,32.6385,28.2778
174,11350710,41.4415,12.9834,11.7937,0.6685,33.4819,33.9166,88.0985,17.4657,38.9709,38.5899,28.8428,38.9,32.0961
175,11350720,52.6405,32.7228,21.7488,54.5281,28.5704,46.1253,28.2127,23.9107,23.1074,11.5038,21.5505,19.854,30.3729
176,11380510,133.7636,133.2519,150.5509,109.1746,71.8313,162.157,167.0342,125.6032,135.4007,114.4736,151.8348,127.9516,131.9189
177,11380520,87.3243,31.8406,91.6678,54.3972,134.9832,77.5761,55.9391,93.3433,132.6414,56.9159,63.0307,154.3629,86.1685
178,11380530,58.8783,22.8126,35.0913,67.8367,38.5966,35.8309,43.7532,34.9401,81.7867,68.3545,69.0713,45.6521,50.217
179,11380551,96.4398,22.3486,77.6317,23.2353,110.499,22.1864,35.3425,69.4464,40.1662,58.873,41.8792,71.1517,55.7667
180,11380552,115.2876,47.5991,35.1706,65.3818,116.322,51.2337,61.714,66.3435,46.5703,19.612,47.8558,58.479,60.9641
181,11380560,134.4205,64.9448,65.657,94.8547,99.3886,39.911,45.7932,114.7026,128.109,107.297,81.4168,102.1491,89.887
182,11380570,177.195,69.4503,102.1132,61.6822,100.4047,140.9039,97.0336,97.1361,85.4338,93.9144,93.652,135.8978,104.5681
183,11380580,56.7494,53.0843,124.3109,91.5526,100.2116,126.2725,73.5185,129.1432,95.7342,132.1561,98.3388,75.6517,96.3936
184,11380590,60.4199,53.503,58.3469,35.2375,61.5636,48.8586,104.8258,28.4906,76.6238,45.8671,26.1699,47.3788,53.9405
185,11380600,66.2058,76.9467,99.0784,85.8664,43.9413,45.9581,85.4153,50.2876,109.2426,60.4459,58.0817,90.6801,72.6791
