,행정동_코드,상권_구분_코드,상권_코드,분기당_매출_금액,분기당_매출_건수,건당_매출액_평균,"환산임대료(원, 21년도)","증감율(%, 19-21년도)",임대료/매출,매출/임대료
256,11230545,A,2110199,81608979,3815,21390,121772,15.192,5.6929,0.1757
257,11230560,A,2110201,110675477,2830,39106,102749,11.673,2.6274,0.3806
258,11230560,A,2110202,81491242,8539,9543,102749,11.673,10.7669,0.0929
259,11230560,A,2110206,200032014,22845,8756,102749,11.673,11.7347,0.0852
260,11230560,A,2110207,127176219,10168,12507,102749,11.673,8.2153,0.1217
261,11230560,A,2110210,333649654,50888,6557,102749,11.673,15.6701,0.0638
262,11230560,A,2110211,206991090,7246,28565,102749,11.673,3.597,0.278
263,11230560,D,2120063,886704111,85671,10350,102749,11.673,9.9274,0.1007
264,11230570,A,2110216,167464590,12280,13637,109132,6.387,8.0026,0.125
265,11230600,A,2110204,392239181,40151,9769,108076,2.79,11.0632,0.0904
266,11230600,A,2110209,16831765,1142,14743,108076,2.79,7.3307,0.1364
267,11230600,A,2110212,421059240,29938,14064,108076,2.79,7.6846,0.1301
268,11230610,A,2110217,58018160,2226,26067,75100,-1.524,2.881,0.3471
269,11230610,A,2110218,415495039,24563,16916,75100,-1.524,4.4396,0.2252
270,11230610,A,2110225,223004129,18409,12114,75100,-1.524,6.1994,0.1613
271,11230610,A,2110227,222426836,26478,8400,75100,-1.524,8.9405,0.1119
272,11230650,A,2110223,127901313,10714,11938,82011,3.658,6.8697,0.1456
273,11230650,A,2110226,1210730385,112513,10761,82011,3.658,7.6211,0.1312
274,11230650,A,2110229,301244157,15728,19153,82011,3.658,4.2819,0.2335
275,11230650,D,2120066,2004396762,147391,13599,82011,3.658,6.0307,0.1658
276,11230660,A,2110228,539103202,41994,12838,89056,5.69,6.9369,0.1442
277,11230660,A,2110230,517340212,36974,13992,89056,5.69,6.3648,0.1571
278,11230660,A,2110231,9295071,239,38851,89056,5.69,2.2922,0.4363
279,11230660,A,2110232,275281231,19576,14062,89056,5.69,6.3331,0.1579
280,11230660,D,2120067,1685641524,125358,13447,89056,5.69,6.6227,0.151
281,11230705,A,2110196,158540540,12584,12598,109402,18.573,8.6841,0.1152
282,11230705,A,2110197,67137928,7479,8977,109402,18.573,12.1869,0.0821
283,11230705,A,2110200,76636732,3575,21435,109402,18.573,5.1039,0.1959
284,11230705,A,2110203,160257110,14771,10850,109402,18.573,10.0831,0.0992
285,11230710,A,2110205,311021215,18345,16954,119783,-1.034,7.0652,0.1415
