,행정동코드,1월_2030여성비율,2월_2030여성비율,3월_2030여성비율,4월_2030여성비율,5월_2030여성비율,6월_2030여성비율,7월_2030여성비율,8월_2030여성비율,9월_2030여성비율,10월_2030여성비율,11월_2030여성비율,12월_2030여성비율,2021년_2030여성_비율평균
154,11320690,3.1719,3.1666,3.1397,3.1224,3.0906,3.0795,3.1143,3.1029,3.1151,3.119,3.1006,3.1365,3.1216
155,11320700,2.8194,2.7898,2.7472,2.7385,2.7488,2.7441,2.7258,2.7073,2.7093,2.6941,2.6193,2.6147,2.7215
156,11320710,2.7424,2.6883,2.6284,2.6191,2.6299,2.5924,2.677,2.7296,2.7402,2.7266,2.6937,2.6569,2.6771
157,11350560,3.5075,3.4499,3.5333,3.5713,3.5832,3.6037,3.5845,3.5558,3.5305,3.6278,3.6398,3.6357,3.5686
158,11350570,2.9596,2.9475,2.9098,2.9265,2.9667,2.9177,2.9487,2.9058,2.9188,2.9545,2.9371,2.9148,2.934
159,11350580,3.2696,3.2248,3.283,3.2495,3.2467,3.2059,3.1923,3.1953,3.1846,3.2282,3.1954,3.1538,3.2191
160,11350595,3.8816,3.8554,3.9617,3.9793,3.9555,3.96,3.9175,3.9204,3.9242,3.9865,3.9687,3.9492,3.9383
161,11350600,3.8703,3.8068,3.8564,3.9112,3.8963,3.9301,3.8669,3.8887,3.899,4.0211,4.0042,3.9836,3.9112
162,11350611,3.1753,3.1494,3.1254,3.1484,3.1283,3.0618,3.1235,3.1198,3.1554,3.1956,3.2025,3.162,3.1456
163,11350612,3.2452,3.2255,3.212,3.1852,3.2248,3.2513,3.2829,3.3013,3.3467,3.3377,3.3125,3.3046,3.2691
164,11350619,2.4444,2.4223,2.4123,2.394,2.3968,2.3675,2.3918,2.3947,2.3996,2.3431,2.3247,2.3696,2.3884
165,11350621,2.4099,2.3989,2.368,2.3693,2.3436,2.3238,2.3805,2.3685,2.3785,2.3724,2.3487,2.3605,2.3686
166,11350624,2.6634,2.6487,2.6149,2.5937,2.5821,2.5531,2.616,2.6274,2.5335,2.5065,2.4775,2.5127,2.5774
167,11350625,3.1115,3.095,3.0982,3.0833,3.0845,3.0787,3.1174,3.111,3.1024,3.1093,3.0902,3.0872,3.0974
168,11350630,3.1425,3.1323,3.1231,3.1196,3.1185,3.0756,3.1004,3.0668,3.073,3.0723,3.0159,3.0054,3.0871
169,11350640,3.5957,3.6248,3.7057,3.6968,3.6708,3.707,3.6645,3.6473,3.7075,3.6913,3.6995,3.623,3.6695
170,11350665,2.7724,2.7518,2.7156,2.7123,2.7026,2.7065,2.7386,2.7556,2.746,2.7167,2.6985,2.7203,2.7281
171,11350670,2.9359,2.8972,2.8823,2.8702,2.9026,2.8677,2.8573,2.8495,2.891,2.9348,2.9165,2.8851,2.8908
172,11350695,3.6397,3.6518,3.6931,3.7112,3.6984,3.7122,3.6888,3.6873,3.6802,3.6863,3.7009,3.6771,3.6856
173,11350700,3.8059,3.8383,3.8258,3.8371,3.8661,3.803,3.8605,3.8234,3.7294,3.7228,3.649,3.6534,3.7846
174,11350710,3.138,3.0966,3.0966,3.0986,3.1147,3.0881,3.1944,3.2097,3.1844,3.1544,3.1328,3.1352,3.137
175,11350720,3.7341,3.717,3.7628,3.7585,3.7722,3.772,3.8514,3.933,3.9642,3.995,3.9674,3.9467,3.8479
176,11380510,3.9642,3.9049,3.9582,3.9893,3.9457,3.9542,4.0015,4.0236,4.0136,4.0955,4.0551,4.0649,3.9976
177,11380520,3.4625,3.4272,3.4921,3.5094,3.484,3.4858,3.519,3.4924,3.4593,3.5143,3.4482,3.4499,3.4787
178,11380530,3.5166,3.4982,3.5152,3.4836,3.4867,3.4842,3.5966,3.6308,3.5568,3.579,3.4957,3.5023,3.5288
179,11380551,3.9527,3.9456,3.9649,3.9436,3.918,3.8644,3.8871,3.8535,3.8814,3.9031,3.9415,3.9125,3.914
180,11380552,3.7143,3.683,3.6921,3.6624,3.6814,3.6329,3.6441,3.6216,3.5929,3.6212,3.6154,3.576,3.6448
181,11380560,3.3992,3.3725,3.3434,3.3159,3.3202,3.3127,3.3891,3.4387,3.3692,3.3748,3.3436,3.3953,3.3646
182,11380570,4.1696,4.095,4.2155,4.2303,4.214,4.2096,4.2653,4.2336,4.2077,4.3012,4.2138,4.1147,4.2059
183,11380580,4.0874,4.0746,4.1722,4.149,4.1177,4.1302,4.1705,4.1282,4.1359,4.2214,4.1879,4.1077,4.1402
184,11380590,3.7243,3.6765,3.8039,3.7986,3.7434,3.726,3.7277,3.7325,3.7035,3.7372,3.6511,3.6503,3.7229
185,11380600,3.7802,3.7033,3.7339,3.7525,3.7443,3.7205,3.7479,3.7867,3.7372,3.7395,3.6982,3.7099,3.7378
186,11380625,3.7645,3.6783,3.73,3.7544,3.7592,3.7416,3.7446,3.7529,3.7558,3.7735,3.7199,3.7921,3.7472
187,11380631,3.7464,3.7124,3.7934,3.7851,3.7378,3.6825,3.6778,3.65,3.6521,3.6711,3.62,3.6274,3.6963
188,11380632,3.3504,3.3377,3.366,3.3952,3.3923,3.3797,3.4485,3.4229,3.3796,3.3645,3.3081,3.3167,3.3718
189,11380640,3.5924,3.5323,3.5788,3.6275,3.6239,3.6177,3.6472,3.642,3.6595,3.6767,3.6135,3.6248,3.6197
