,행정동_코드,행정동명,상권_구분_코드,상권_코드,분기당_매출_금액,분기당_매출_건수,건당_매출액_평균,"환산임대료(원, 21년도)","증감율(%, 19-21년도)",임대료/매출,매출/임대료,개업률_평균,폐업률_평균,점포수,면적,단위면적당 상권 수(k㎡),프랜차이즈_점포_수,개인사업자_수,프랜차이즈 비율,2021년_2030여성_비율평균,2021년_외국인_평균,문화시설수,지하철_역_수,버스_정거장_수,유사_업종_점포_수,개인사업자_점포수,개인사업자_비율
94,11170510,후암동,A,2110080,171399081,11500,14904,111346,6.701,7.4709,0.1339,3.213,5.2222,368,0.86,427.90697674418607,26,160,0.139784946,0.0421,196.023,2,0,9,14,13,0.9286
95,11170520,용산2가동,A,2110081,447043477,26332,16977,105874,6.359,6.2363,0.1604,5.9867,4.4476,362,1.96,184.6938775510204,14,110,0.112903226,0.0493,135.1146,3,0,11,26,23,0.8846
96,11170530,남영동,A,2110074,853856363,49525,17241,96045,1.273,5.5707,0.1795,2.8889,4.4259,786,1.19,660.5042016806723,73,346,0.174224344,0.0506,226.1574,7,2,18,18,13,0.7222
97,11170530,남영동,A,2110075,316914970,37909,8360,96045,1.273,11.4886,0.087,4.8212,3.3572,786,1.19,660.5042016806723,73,346,0.174224344,0.0506,226.1574,7,2,18,12,11,0.9167
98,11170530,남영동,D,2120042,464501777,40210,11552,96045,1.273,8.3141,0.1203,2.5463,2.787,786,1.19,660.5042016806723,73,346,0.174224344,0.0506,226.1574,7,2,18,20,13,0.65
99,11170530,남영동,D,2120045,1293217975,47997,26944,96045,1.273,3.5646,0.2805,3.6296,3.3333,786,1.19,660.5042016806723,73,346,0.174224344,0.0506,226.1574,7,2,18,29,21,0.7241
100,11170555,청파동,A,2110066,525563157,45962,11435,116739,5.304,10.2089,0.098,3.8333,3.3704,620,0.9,688.8888888888889,63,276,0.185840708,0.059,346.9694,5,0,13,15,15,1.0
101,11170555,청파동,A,2110067,205697718,17875,11508,116739,5.304,10.1442,0.0986,2.3048,3.5179,620,0.9,688.8888888888889,63,276,0.185840708,0.059,346.9694,5,0,13,8,7,0.875
102,11170555,청파동,A,2110069,1012161751,103387,9790,116739,5.304,11.9243,0.0839,4.5463,4.1296,620,0.9,688.8888888888889,63,276,0.185840708,0.059,346.9694,5,0,13,63,47,0.746
103,11170560,원효로1동,A,2110065,5135346,1014,5063,100217,10.984,19.794,0.0505,0.0,2.7778,715,0.59,1211.864406779661,12,117,0.093023256,0.0522,139.5543,1,0,7,2,2,1.0
104,11170560,원효로1동,A,2110068,563027433,48833,11530,100217,10.984,8.6918,0.1151,2.4444,4.4167,715,0.59,1211.864406779661,12,117,0.093023256,0.0522,139.5543,1,0,7,20,19,0.95
105,11170560,원효로1동,A,2110072,525936647,13501,38954,100217,10.984,2.5727,0.3887,3.5714,5.4583,715,0.59,1211.864406779661,12,117,0.093023256,0.0522,139.5543,1,0,7,6,5,0.8333
106,11170570,원효로2동,A,2110058,362623765,33231,10912,107159,10.296,9.8203,0.1018,1.7037,2.1945,384,0.71,540.8450704225353,42,216,0.162790698,0.0377,78.0489,1,0,23,13,11,0.8462
107,11170570,원효로2동,D,2120040,1199953111,120448,9962,107159,10.296,10.7568,0.093,2.3704,2.6852,384,0.71,540.8450704225353,42,216,0.162790698,0.0377,78.0489,1,0,23,31,25,0.8065
108,11170580,효창동,A,2110061,212120230,13930,15228,110244,3.597,7.2396,0.1381,4.1199,4.5197,196,0.44,445.45454545454544,8,42,0.16,0.0453,56.1786,2,0,11,8,7,0.875
109,11170580,효창동,A,2110064,180921855,15905,11375,110244,3.597,9.6918,0.1032,2.4167,3.5105,196,0.44,445.45454545454544,8,42,0.16,0.0453,56.1786,2,0,11,13,12,0.9231
110,11170590,용문동,A,2110060,249973405,24768,10093,122271,3.776,12.1144,0.0825,4.5694,5.0159,337,0.28,1203.5714285714284,12,83,0.126315789,0.042,37.954,0,0,9,9,9,1.0
111,11170590,용문동,A,2110063,402821561,20545,19607,122271,3.776,6.2361,0.1604,5.3576,3.1551,337,0.28,1203.5714285714284,12,83,0.126315789,0.042,37.954,0,0,9,9,8,0.8889
112,11170625,한강로동,A,2110062,634333088,27939,22704,125704,7.725,5.5366,0.1806,4.5463,5.1481,1876,2.9,646.8965517241379,125,639,0.163612565,0.0527,599.2355,9,5,22,20,20,1.0
113,11170625,한강로동,A,2110073,213071820,2418,88101,125704,7.725,1.4268,0.7009,13.1746,2.1746,1876,2.9,646.8965517241379,125,639,0.163612565,0.0527,599.2355,9,5,22,1,1,1.0
114,11170625,한강로동,A,2110076,205782388,8538,24101,125704,7.725,5.2157,0.1917,3.7146,4.3069,1876,2.9,646.8965517241379,125,639,0.163612565,0.0527,599.2355,9,5,22,4,3,0.75
115,11170625,한강로동,D,2120041,-2147483648,238853,14644,125704,7.725,8.584,0.1165,4.1667,3.8982,1876,2.9,646.8965517241379,125,639,0.163612565,0.0527,599.2355,9,5,22,139,96,0.6906
116,11170625,한강로동,D,2120044,760865284,23492,32389,125704,7.725,3.8811,0.2577,3.9722,2.5741,1876,2.9,646.8965517241379,125,639,0.163612565,0.0527,599.2355,9,5,22,28,25,0.8929
117,11170630,이촌1동,A,2110071,356296034,24341,14638,212201,12.657,14.4966,0.069,1.9402,2.7323,637,2.86,222.72727272727275,8,51,0.13559322,0.0335,289.6711,0,0,2,4,2,0.5
118,11170630,이촌1동,A,2110078,256028403,23321,10979,212201,12.657,19.3279,0.0517,1.7326,3.9179,637,2.86,222.72727272727275,8,51,0.13559322,0.0335,289.6711,0,0,2,5,2,0.4
119,11170640,이촌2동,A,2110059,202692576,25254,8026,106504,0.443,13.2699,0.0754,2.0208,2.3958,153,1.22,125.40983606557376,1,24,0.04,0.0353,37.5666,2,0,2,6,6,1.0
120,11170650,이태원1동,A,2110082,381331612,18502,20610,161325,-0.534,7.8275,0.1278,3.8796,5.8333,1078,0.57,1891.2280701754387,60,634,0.086455331,0.0531,264.84,4,1,16,16,16,1.0
121,11170650,이태원1동,A,2110086,221686195,6613,33522,161325,-0.534,4.8125,0.2078,2.3586,2.4221,1078,0.57,1891.2280701754387,60,634,0.086455331,0.0531,264.84,4,1,16,3,3,1.0
122,11170650,이태원1동,A,2110087,446384132,47602,9377,161325,-0.534,17.2043,0.0581,2.0032,2.9278,1078,0.57,1891.2280701754387,60,634,0.086455331,0.0531,264.84,4,1,16,7,7,1.0
