,상권_코드,개업률_평균,폐업률_평균
741,2110743,5.8333,7.0119
742,2110744,4.5209,4.4075
743,2110745,4.1861,3.5799
744,2110746,6.1633,5.5096
745,2110747,4.3962,3.7521
746,2110748,4.8542,6.8646
747,2110749,4.8929,5.8214
748,2110750,5.8655,2.2068
749,2110751,12.1512,5.9086
750,2110752,4.7812,4.8646
751,2110753,2.3426,2.5278
752,2110754,6.3056,5.9492
753,2110755,6.5866,3.6369
754,2110756,3.0729,4.7187
755,2110757,6.4907,9.4444
756,2110758,2.8056,1.6389
757,2110759,5.9537,3.6574
758,2110760,3.7912,4.801
759,2110761,0.0,0.0
760,2110762,3.5278,5.2315
761,2110763,3.7037,5.1667
762,2110764,7.6389,0.0
763,2110765,5.7713,4.9111
764,2110766,5.381,3.0997
765,2110767,3.3553,5.3465
766,2110768,1.75,2.5
767,2110769,3.3958,1.5208
768,2110770,4.7958,3.9299
769,2110771,11.7896,9.7222
770,2110772,0.0,0.0
771,2110773,2.5,1.6667
772,2110774,4.5005,3.6229
773,2110775,3.7361,4.0139
774,2110776,2.0833,4.3056
775,2110777,1.3528,3.7278
776,2110778,5.1759,4.1678
777,2110779,7.4006,8.8141
778,2110780,2.9643,4.1548
779,2110781,4.4583,4.125
780,2110782,3.1766,0.8571
781,2110783,3.5092,3.6667
782,2110784,3.6294,5.2752
783,2110785,5.6065,4.868
784,2110786,2.0833,2.1667
785,2110787,5.7719,3.7734
786,2110788,1.6422,5.4667
787,2110789,3.9896,6.4687
788,2110790,6.0532,3.6781
789,2110791,2.6369,5.9662
790,2110792,3.5729,4.4375
791,2110793,0.6944,6.4722
792,2110794,2.5417,3.1771
793,2110795,4.0985,2.0833
794,2110796,2.3686,4.3143
795,2110797,3.8125,1.0417
796,2110798,1.6667,1.6667
797,2110799,3.7917,3.2847
798,2110800,3.8611,0.8611
799,2110801,2.5641,0.0
800,2110802,2.9072,3.0838
801,2110803,7.9643,4.2381
802,2110804,3.933,4.7797
803,2110805,6.0667,4.2
804,2110806,4.1667,0.0
805,2110807,4.3278,4.5694
806,2110808,0.8646,2.8646
807,2110809,3.7143,5.7857
808,2110810,5.0741,5.4907
809,2110811,5.7271,3.0852
810,2110812,4.1175,5.6739
811,2110813,5.8542,3.7619
812,2110814,4.7304,4.6767
813,2110815,2.5926,3.4259
814,2110816,2.6428,2.6309
815,2110817,4.803,3.2015
816,2110818,5.8958,5.2083
817,2110819,4.2188,4.1354
818,2110820,5.8927,5.7081
819,2110821,3.7857,2.9167
820,2110822,5.1435,2.7778
821,2110823,4.1551,5.5405
822,2110824,2.3646,2.6145
823,2110825,5.841,4.7181
824,2110826,5.9601,8.4905
825,2110827,3.8875,4.0021
826,2110828,3.0194,3.2954
827,2110829,2.7606,6.9109
828,2110830,4.9237,5.3056
829,2110831,2.0476,3.0714
830,2110832,1.5833,2.5699
831,2110833,5.4863,2.2066
832,2110834,2.4497,1.421
833,2110835,3.7917,3.4445
834,2110836,3.1759,4.8148
835,2110837,4.1481,3.7408
836,2110838,0.5376,1.1905
837,2110839,1.9537,2.3704
838,2110840,2.8704,4.0
839,2110841,0.0,0.0
840,2110842,5.054,3.9687
841,2110843,4.0609,2.4942
842,2110844,2.5641,0.0
843,2110845,4.3889,2.7778
844,2110846,3.4387,4.0099
845,2110847,2.7222,7.25
846,2110848,4.4167,4.2143
847,2110849,6.5266,4.5595
848,2110850,4.8704,4.8889
